FG_CC_19T_057_2-3025994_S64_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrY      1         15859692  867905    5213802   32.8745   6.25247    35.6       12.8
##        Avg.      coverage  =         25.4763
WB_LO_19T_179_2-3025886_S6_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4872766   20174552  98.0285   31.5787    36         54.2
chrY      1         15859692  1098219   5414696   34.1412   7.74744    35.6       12.2
##        Avg.      coverage  =         29.6472
WK_RL_19T_187_2-3025983_S53_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3379889   20137127  97.8466   21.5612    36.1       51.6
chrY      1         15859692  3275485   15638205  98.6035   26.4262    36         35.8
##        Avg.      coverage  =         34.1163
WT_GL_19T_036_2-3025993_S63_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  2683765   20099473  97.6637   17.3272    36         52
chrY      1         15859692  2626268   15649155  98.6725   21.3903    35.9       35.6
##        Avg.      coverage  =         27.8376
WT_LL_19T_001_2-3025988_S58_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4608323   20140977  97.8653   29.756     36         54.2
chrY      1         15859692  1043781   5479220   34.5481   7.58354    35.7       13
##        Avg.      coverage  =         28.0691
WT_LL_19T_045_2-3025975_S45_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4623044   20158242  97.9492   29.9568    35.9       54.5
chrY      1         15859692  1007261   5444883   34.3316   7.19036    35.5       13.5
##        Avg.      coverage  =         28.3225
WT_LL_19T_186_2-3025965_S35_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3650359   20133136  97.8272   23.5176    36.1       54
chrY      1         15859692  851758    5111025   32.2265   6.20814    35.7       13.6
##        Avg.      coverage  =         22.2078
WT_LP_19T_101_2-3025979_S49_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  5203677   20153059  97.9241   33.7179    35.8       54.4
chrY      1         15859692  1207080   5866641   36.9909   8.62256    35.4       13.4
##        Avg.      coverage  =         31.8322
WT_LP_19T_102_2-3025985_S55_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4402256   20158429  97.9501   28.6172    35.9       54.5
chrY      1         15859692  984355    5396887   34.029    7.19898    35.6       12.6
##        Avg.      coverage  =         27.1421
